  S    T    X  AorM Estp gear  speed   steer  brk     enc     alv etx0 etx1
0x53 0x54 0x58 0x01 0x00    2      0 255 255    1          0  228 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  11   0  200          0  229 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  11   0    1          0  230 0x1d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  11   0    1          0  231 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  11   0  200          0  232 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   2   0  200          0  233 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   2   0    1          0  234 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   2   0  200          0  236 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0  237 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0    1          0  238 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0  239 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0  240 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0    1          0  241 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0  242 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  51 255  200          0  243 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  51 255    1          0  244 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  16 254  200          0  245 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  16 254  200          0  246 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  28 255    1          0  247 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  28 255  200          0  248 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 234 255  200          0  249 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 234 255    1          0  250 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 239 255  200          0  251 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 239 255  200          0  252 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 253 255    1          0  253 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 253 255  200          0  254 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 255 255  200          0  255 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 255 255    1          0    0 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0    1 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0    2 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0    1          0    3 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2   4096   0   0    1          0    4 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0    5 0x0d 0x0a 
